"HH_ID","PER_ID","TOUR_ID","TOURMODE_RECODE","TOURPURP_RECODE","AUTOSUFF","finalweight"
19853457,4,1,"2_HOV2","Indi-Main",1,12.4029238656475
18130385,1,1,"2_HOV2","Indi-Main",0,12.1367687637969
18488507,1,1,"3_HOV3","Work",2,12.1751819153251
18684084,2,1,"3_HOV3","Indi-Main",2,12.4866547698781
18742747,1,1,"1_SOV","Work",2,26.0894984669329
18860828,1,1,"3_HOV3","Indi-Disc",2,27.400936826159
19159873,1,1,"3_HOV3","Indi-Disc",1,138.763159618012
19209699,2,1,"1_SOV","Indi-Disc",2,12.1693365360418
19222160,1,1,"1_SOV","Indi-Main",2,16.684061973781
19315150,1,1,"2_HOV2","Indi-Disc",2,12.1693365360418
19459168,2,1,"2_HOV2","Indi-Main",2,17.9651903397299
19645142,1,1,"1_SOV","Work",2,262.099161600412
19674552,1,1,"1_SOV","Indi-Main",2,14.0617500541514
19720085,1,1,"1_SOV","Indi-Main",2,13.012386824976
19754827,2,1,"1_SOV","Work",2,169.772603931398
19838018,1,1,"1_SOV","Indi-Disc",2,12.3491290960439
19853457,3,1,"2_HOV2","Indi-Main",1,12.4029238656475
19853457,4,1,"2_HOV2","Indi-Main",1,12.4029238656475
19999119,3,1,"2_HOV2","Indi-Main",1,16.5762261124661
18140591,3,1,"2_HOV2","Indi-Disc",2,102.123137069049
18307912,2,1,"7_WALK_PREMIUM","Indi-Main",1,13.0997804440074
18310954,2,1,"3_HOV3","Indi-Main",1,68.6197829305299
18428523,1,1,"1_SOV","Indi-Main",2,85.5893175839329
18499596,2,1,"1_SOV","Indi-Main",2,12.1367687637969
18514767,1,1,"2_HOV2","Work",2,13.2918143659002
18635809,2,1,"1_SOV","Indi-Main",2,12.56396065365
18735989,1,1,"1_SOV","Indi-Disc",2,50.7309214156415
18903093,2,1,"1_SOV","Indi-Main",2,12.1367687637969
18906287,1,1,"1_SOV","Indi-Main",2,68.7538744878764
18983161,1,1,"1_SOV","Indi-Main",2,199.393977626166
19187296,1,1,"3_HOV3","Indi-Main",1,238.232432886671
19294614,1,1,"1_SOV","Indi-Main",2,16.7890113396235
19306266,2,1,"7_WALK_PREMIUM","Indi-Disc",2,17.5545216732471
19440131,2,1,"2_HOV2","School",2,184.676481504873
19465210,2,1,"3_HOV3","School",2,49.752034126993
19535718,2,1,"1_SOV","Indi-Main",2,17.953253535439
19541833,1,1,"1_SOV","Indi-Main",2,12.7683850443993
19562033,2,1,"1_SOV","Indi-Main",2,12.4448114368229
19588429,1,1,"3_HOV3","Indi-Disc",2,12.5312213237381
19592160,5,1,"3_HOV3","Indi-Main",2,212.917278600508
19616212,1,1,"3_HOV3","Indi-Main",2,12.2219382592238
19674922,1,1,"3_HOV3","Joint-Disc",2,12.8772916043314
19674922,2,1,"3_HOV3","Joint-Disc",2,12.8772916043314
19699848,1,1,"1_SOV","Indi-Main",2,12.9590348987728
19700311,2,1,"7_WALK_PREMIUM","Indi-Main",2,289.64149175759
19736915,2,1,"1_SOV","Indi-Main",2,16.5372318208633
19748646,1,1,"2_HOV2","Indi-Main",2,8.58890905947441
19807175,2,1,"1_SOV","Indi-Disc",2,209.92155208477
19992686,1,1,"4_WALK","Indi-Main",2,13.012386824976
18130385,1,1,"2_HOV2","Indi-Main",0,12.1367687637969
18180901,2,1,"1_SOV","Indi-Main",1,37.7137510646051
18246645,1,1,"1_SOV","Indi-Main",2,8.58890905947441
18307912,2,1,"3_HOV3","Indi-Main",1,13.0997804440074
18316703,2,1,"1_SOV","Indi-Main",1,29.8097941577025
18324512,1,1,"10_PNR_PREMIUM","Indi-Main",2,170.510980842816
18428523,1,1,"1_SOV","Indi-Main",2,85.5893175839329
18499596,2,1,"1_SOV","Indi-Main",2,12.1367687637969
18502060,3,1,"2_HOV2","Indi-Main",2,77.5969473246253
18635809,2,1,"2_HOV2","Indi-Main",2,12.56396065365
18684084,2,1,"3_HOV3","Indi-Main",2,12.4866547698781
18856588,2,1,"2_HOV2","Indi-Main",2,28.451373870668
18860828,1,1,"1_SOV","Indi-Main",2,27.400936826159
18862199,1,1,"1_SOV","Indi-Disc",2,13.012386824976
18875926,1,1,"6_WALK_LOCAL","Work",2,17.1456571245383
18903093,2,1,"1_SOV","Indi-Main",2,12.1367687637969
18924576,1,2,"2_HOV2","Indi-Main",2,12.9590348987728
18958607,1,1,"3_HOV3","Indi-Disc",2,210.809188407172
18958607,2,1,"3_HOV3","Indi-Disc",2,210.809188407172
18958607,3,1,"3_HOV3","Indi-Disc",2,210.809188407172
19163177,2,1,"1_SOV","Work",2,12.4710908202236
19168478,2,2,"1_SOV","Indi-Main",2,81.8897554905879
19187296,1,1,"1_SOV","Work",1,238.232432886671
