"id","purpose","freq_stop","freq_trip"
38,"work",549,2161
39,"work",632,1910
4,"work",611,2134
40,"work",546,1638
41,"work",522,1438
42,"work",439,1296
43,"work",315,1023
44,"work",335,962
45,"work",366,938
46,"work",339,885
47,"work",468,1025
48,"work",26,576
5,"work",1153,4002
6,"work",2210,7744
7,"work",1439,9818
8,"work",2329,15265
9,"work",2907,16277
1,"Total",213,831
10,"Total",9965,34898
11,"Total",11687,31946
12,"Total",9281,24679
13,"Total",6847,19496
14,"Total",6154,17093
15,"Total",5314,15403
16,"Total",6156,17580
17,"Total",6537,19449
18,"Total",7553,23919
19,"Total",7782,25627
2,"Total",390,1421
20,"Total",7361,24073
21,"Total",7638,22798
22,"Total",7726,23437
23,"Total",8953,25271
24,"Total",9309,28403
25,"Total",9778,33934
26,"Total",9370,34769
27,"Total",9677,37356
28,"Total",7836,32301
29,"Total",8730,36694
3,"Total",560,1845
30,"Total",7968,34094
31,"Total",7053,29978
32,"Total",6518,27833
33,"Total",5832,21996
34,"Total",5036,20627
35,"Total",5234,18604
36,"Total",5278,18613
37,"Total",3189,15458
38,"Total",2397,9349
39,"Total",1978,7715
4,"Total",854,3054
40,"Total",1649,5866
41,"Total",1285,4577
42,"Total",1233,3830
43,"Total",754,2761
44,"Total",783,2475
45,"Total",707,2024
46,"Total",589,1754
47,"Total",755,1814
48,"Total",68,986
5,"Total",1623,5518
6,"Total",2905,10067
7,"Total",2734,14086
8,"Total",6772,28878
9,"Total",10109,38450
