coefficient_name,value,constrain
coef_joint_tnc_single_ASC_sr2_discretionary,0.0,F
coef_joint_tnc_single_ASC_sr3p_discretionary,0.0,F
coef_joint_tnc_single_ASC_walk_discretionary,-58.0,F
coef_joint_tnc_single_ASC_taxi_discretionary,-999.0,F
coef_joint_tnc_single_ASC_tnc_shared_discretionary,-999.0,F
coef_joint_tnc_shared_ASC_sr2_discretionary,0.0,F
coef_joint_tnc_shared_ASC_sr3p_discretionary,0.0,F
coef_joint_tnc_shared_ASC_walk_discretionary,-58.0,F
coef_joint_tnc_shared_ASC_taxi_discretionary,-999.0,F
coef_joint_tnc_shared_ASC_tnc_single_discretionary,-12.0,F
coef_joint_taxi_ASC_sr2_maintenance,0.0,F
coef_joint_taxi_ASC_sr3p_maintenance,0.0,F
coef_joint_taxi_ASC_walk_maintenance,-66.0,F
coef_joint_taxi_ASC_tnc_single_maintenance,-30.0,F
coef_joint_taxi_ASC_tnc_shared_maintenance,-999.0,F
coef_joint_tnc_single_ASC_sr2_maintenance,0.0,F
coef_joint_tnc_single_ASC_sr3p_maintenance,0.0,F
coef_joint_tnc_single_ASC_walk_maintenance,-66.0,F
coef_joint_tnc_single_ASC_taxi_maintenance,-999.0,F
coef_joint_tnc_single_ASC_tnc_shared_maintenance,-999.0,F
coef_joint_tnc_shared_ASC_sr2_maintenance,0.0,F
coef_joint_tnc_shared_ASC_sr3p_maintenance,0.0,F
coef_joint_tnc_shared_ASC_walk_maintenance,-66.0,F
coef_joint_tnc_shared_ASC_taxi_maintenance,-999.0,F
coef_joint_tnc_shared_ASC_tnc_single_maintenance,-12.0,F
coef_drive_transit_ASC_sov_school,-6.0,F
coef_drive_transit_ASC_sr2_school,-8.0,F
coef_drive_transit_ASC_sr3p_school,-8.0,F
coef_drive_transit_ASC_walk_school,-46.0,F
coef_drive_transit_ASC_bike_school,-8.0,F
coef_drive_transit_ASC_walk_transit_school,-6.0,F
coef_drive_transit_ASC_taxi_school,-999.0,F
coef_drive_transit_ASC_tnc_single_school,-20.0,F
coef_drive_transit_ASC_tnc_shared_school,-999.0,F
coef_taxi_ASC_sr2_school,2.0,F
coef_taxi_ASC_sr3p_school,0.0,F
coef_taxi_ASC_walk_school,-32.0,F
coef_taxi_ASC_walk_transit_school,0.0,F
coef_taxi_ASC_tnc_single_school,-14.90015167,F
coef_taxi_ASC_tnc_shared_school,-999.0,F
