"OCOUNTY","DCOUNTY","trip_mode","tour_purpose","count"
"Dakota","Hennepin","Auto SOV","Shop",5197.89594952201
"Hennepin","Dakota","Auto SOV","Shop",4667.38570199606
"Dakota","Dakota","Auto SOV","Visiting",5605.0973400391
"Dakota","Scott","Auto SOV","Visiting",290.312651144376
"Scott","Scott","Auto SOV","Visiting",3746.03332734872
"Scott","Dakota","Auto SOV","Visiting",599.755006717604
"Scott","Le Sueur","Auto SOV","Work",2756.59336273535
"Le Sueur","Le Sueur","Auto 2 Person","Discretionary",1432.2251226349
"Dakota","Carver","Auto SOV","Shop",194.628130678011
"Carver","Dakota","Auto SOV","Shop",194.628130678011
"Hennepin","Dakota","Auto SOV","Work",39371.6850723544
"Anoka","Anoka","Auto 3+ Person","Escort",29386.1222266954
"Anoka","Ramsey","Auto SOV","Escort",2139.56307098164
"Anoka","Anoka","Auto 3+ Person","Work",10421.8566305688
"Anoka","Anoka","Auto 3+ Person","School",22803.1086479394
"Dakota","Hennepin","Auto 2 Person","Maintenance",2972.531174696
"Hennepin","Dakota","Auto 3+ Person","Discretionary",741.941448714306
"Ramsey","Dakota","Auto 2 Person","Escort",1334.41607183672
"Sherburne","Sherburne","Auto SOV","Discretionary",7769.93378684189
"Ramsey","Dakota","Auto 2 Person","Work",2156.03619242031
"Dakota","Dakota","Auto 2 Person","Work",29141.8832472449
"Dakota","Ramsey","Auto 2 Person","Work",2823.26526015622
"Washington","Washington","Auto SOV","Shop",26126.610816748
"Washington","Washington","Auto SOV","Discretionary",23597.5681590751
"Hennepin","Carver","Auto SOV","Shop",1309.11782443064
"Ramsey","Hennepin","Walk","Work",495.177941551719
"Ramsey","Hennepin","Auto SOV","Escort",4125.61558344238
"Hennepin","Ramsey","Auto 2 Person","Escort",6566.73027456496
"Ramsey","Hennepin","Auto 2 Person","Escort",6359.74590859717
"Hennepin","Hennepin","Walk-Transit","Visiting",4457.1488446928
"Ramsey","Hennepin","Walk-Transit","Maintenance",1600.35112077995
"Hennepin","Ramsey","Walk","Maintenance",112.676670830342
"Rice","Scott","Auto SOV","Work",1215.69624406748
"Le Sueur","Scott","Auto SOV","Work",3048.39579422239
"Scott","Le Sueur","Auto SOV","Eating Out",27.1758176531168
"Le Sueur","Scott","Auto 2 Person","Eating Out",13.5879088265584
"Scott","Rice","Auto 2 Person","Eating Out",217.018910063897
"Dakota","Rice","Auto SOV","Eating Out",13.5879088265584
"Dakota","Washington","Auto SOV","Shop",534.991418351257
"Washington","Dakota","Auto SOV","Shop",821.530825576034
"Washington","Ramsey","Auto SOV","Maintenance",7510.79681451507
"Ramsey","Washington","Auto 2 Person","Maintenance",2324.98349608215
"Washington","Washington","Auto 2 Person","Visiting",8299.74221420874
"Scott","Scott","Auto SOV","Shop",8785.61328110417
"Scott","Hennepin","Auto SOV","Shop",935.375288752063
"Carver","Carver","Auto 2 Person","Discretionary",7586.77725693849
"Anoka","Ramsey","Auto SOV","Shop",4618.46163492637
"Ramsey","Anoka","Auto SOV","Shop",3420.88086286581
"Anoka","Anoka","Auto SOV","Shop",35364.8425465397
"Anoka","Anoka","Walk","Shop",9740.28822749012
"Anoka","Anoka","Walk","Discretionary",13629.2193029284
"Polk","Polk","Walk","Maintenance",787.720397059893
"Hennepin","Hennepin","Bike/Moped","Discretionary",9719.00026693373
"Hennepin","Ramsey","Bike/Moped","Discretionary",788.596783135098
"Ramsey","Hennepin","Bike/Moped","Shop",90.6792925238937
"Hennepin","Hennepin","Bike/Moped","Shop",2423.80983631314
"Rice","Goodhue","Auto SOV","Work",1398.28834190966
"Goodhue","Goodhue","Auto 2 Person","Eating Out",4515.18959186696
"Goodhue","Goodhue","Walk","Eating Out",1014.64207269254
"Goodhue","Rice","Auto 2 Person","Eating Out",239.669379649564
"Rice","Rice","Auto SOV","Work-based",10540.722677741
"Rice","Ramsey","Auto SOV","Work",2511.96102760159
"Ramsey","Rice","Walk","Work-based",719.008138948692
"Hennepin","Sherburne","Auto 2 Person","Work",536.151094580048
"Sherburne","Sherburne","Auto 2 Person","Work",6104.05190675133
"Sherburne","Wright","Auto SOV","Visiting",231.231479426272
"Wright","Wright","Auto SOV","Visiting",2596.36922372854
"Ramsey","Dakota","Auto 2 Person","Shop",3632.31400305872
"Hennepin","Dakota","Auto 2 Person","Shop",1246.45073408301
"Dakota","Ramsey","Auto 2 Person","Discretionary",1009.61176455603
"Ramsey","Dakota","Auto 2 Person","Discretionary",1015.02500383107
"Hennepin","Dakota","Auto 2 Person","Discretionary",1714.47499731852
"Carver","Carver","Walk","Discretionary",2788.5256707934
"Hennepin","Ramsey","Auto SOV","Work-based",11758.0333633904
"Ramsey","Hennepin","Auto SOV","Work-based",9495.71429303108
"Chisago","Dakota","Auto SOV","Work",126.69887650719
"Dakota","Chisago","Auto SOV","Work",92.649849722125
"Chisago","Chisago","Auto SOV","Work",21615.3711162526
