"distbin","Anoka","Carver","Chisago","Dakota","Goodhue","Hennepin","Isanti","Le Sueur","McLeod","Pierce","Polk","Ramsey","Rice","Scott","Sherburne","Sibley","St. Croix","Washington","Wright","Total"
23,3670.24551395609,911.007686750648,230.065450321067,5723.66262375825,0,7732.05040591346,0,0,0,49.8843632808942,0,1574.71207254973,53.0139235559708,1744.93144574448,517.443147218392,0,883.096563234897,4818.44799182561,1247.64718723708,29156.2083753466
24,3446.75267339925,79.3624286884972,50.0521859213431,4106.14605892106,600.082658865125,4216.07972744505,113.250446389829,2159.99101699643,0,50.2646236016401,338.252876995069,2499.02162191826,53.0139235559708,1703.75798154107,0,0,1062.38181117,2900.98576871966,710.293312039756,24089.689116168
25,3467.79927909303,260.076619926369,493.094699134218,5204.08837034013,0,5178.81864226886,1002.25441221351,0,664.432434768027,0,0,1073.17583576323,0,706.539476137701,0,0,100.249770589905,2278.95145390861,2203.92449116509,22633.4054853087
26,2082.98719063126,1178.63637620126,966.95794519698,2711.700610261,0,4347.86996626397,0,0,1334.96672611012,1001.50686086798,0,1154.94897769422,545.47456132854,1373.55195423516,98.0848104865285,0,2788.52605175704,952.790066852796,1047.55263409489,21585.5547319817
27,1892.54412889438,99.6660788934368,109.515263146385,529.640413274115,0,2148.08715785375,0,0,0,0,0,1501.32398724755,158.431948949865,617.939647456133,1326.4085844476,0,100.652477038835,1506.99411538237,4017.68271382812,14008.8865164125
28,789.710157960745,53.9588819039612,518.017664087232,6735.96037344587,0,1881.13341885375,959.332509279355,56.09023628804,0,66.6091157285599,337.749908750285,154.174484505748,645.065151289992,1622.37024442967,1123.88849952034,0,1849.75752353477,1286.08878485387,1065.59545218358,19145.5024066158
29,830.965397366329,51.1513276653476,300.528939862524,2371.73710919183,102.742601893369,4057.70051025406,911.881435523158,0,0,287.509460932318,185.474651851931,1197.62058361992,986.637860082304,318.685523263102,1369.99013069226,0,1273.82627798259,1282.70680613435,1359.71487203243,16888.8734883478
30,3543.07720080787,1120.17109632321,51.1852016734419,2190.86842323698,86.643552531777,285.591320425014,52.4452222874654,210.948757199631,0,51.0960811048288,0,48.8677293521652,56.2470002166057,2605.45442743106,83.0936982337,0,1168.20565162044,1034.3010835849,751.255635389982,13339.4520814191
31,52.6010874903488,331.68847082052,50.0521859213431,1981.10659934223,0,1178.94558207731,0,0,587.155525631088,0,50.3375190160287,1096.58681847606,0,645.306846822848,663.823048752408,0,211.579147909834,742.767679488928,2377.51641542054,9969.46692716949
32,472.155741085578,379.447805631734,1083.57082532633,1025.61661375044,0,3532.92729648724,1842.65948602154,0,0,0,208.184475657536,0,0,1427.1068258769,0,0,660.726031041964,611.153089135653,157.300808291507,11400.8489983064
33,206.042658429854,1491.36023253929,900.604638112183,1126.02760969652,0,1159.52742015049,100.104371842686,0,664.432434768027,120.877865369832,84.1732585546015,50.3164048019658,146.73182916053,2082.09156991815,1417.88985430453,0,2025.29827249878,1162.12414987743,797.209864720095,13534.812434745
34,1587.84026837475,1113.96047331376,115.159638147719,156.413782913666,0,1490.48301050768,0,0,528.792471989076,0,70.3374217206775,875.819804743251,0,104.827774331423,504.435715499092,0,384.196159488734,3046.47058098509,1182.88156673502,11161.6186687499
35,0,2015.50012755735,101.329644449105,377.864599540411,0,99.5268902592438,0,134.124825920032,0,99.4299378879562,0,0,0,841.551378466767,997.888843512499,0,857.814447579727,105.30663748852,687.27670184719,6317.6140345088
36,477.877652796966,53.4716917677934,285.608006180261,51.2374217972907,0,1070.10455561315,0,0,0,66.6091157285599,0,951.709321003803,0,0,357.764864189211,0,385.779656614608,258.518655529633,1660.54351090846,5619.22445212974
37,749.717573807611,53.9070385990271,115.159638147719,0,395.334266254423,0,0,0,0,0,672.679909538601,83.2233655900628,105.818914625438,0,170.704242977178,0,1366.27954783434,50.5875727191942,435.309339541916,4198.72140963551
38,959.074950923264,274.482140249247,1001.27595474251,0,0,1011.79484183051,0,0,0,170.473995946968,0,0,54.2001538789262,0,49.752034126993,0,276.308593640789,1719.39415312879,922.140003232694,6438.89682170069
39,1823.49316505753,0,398.725155256964,0,0,52.4185222761317,0,0,90.8469344942035,99.466382622045,0,0,0,735.102930281014,662.066340420944,0,559.133453501993,1207.02462256529,67.6638246783771,5695.94133115449
