"timebin","purpose","freq_stop","freq_trip"
18,"jdisc",2858.01753033322,10090.5270018019
19,"jdisc",3168.23346970925,5951.11974437062
2,"jdisc",0,0
20,"jdisc",728.602684474797,4736.25119945274
21,"jdisc",780.447385995399,4179.87554618031
22,"jdisc",1892.47609236438,4626.39192086884
23,"jdisc",2545.75058038555,7935.72935946845
24,"jdisc",1811.86482949046,5490.22118015311
25,"jdisc",1405.7894879688,5738.9609068383
26,"jdisc",1309.09090380409,6223.63296461934
27,"jdisc",881.922296653227,11213.8278213709
28,"jdisc",1451.92267564044,8164.6854970433
29,"jdisc",1087.59039616364,11557.6464747936
3,"jdisc",0,58.4042446910426
30,"jdisc",1876.90708651938,15406.0819027713
31,"jdisc",2969.53161021358,17847.9070450377
32,"jdisc",4037.22670187075,13296.4847598298
33,"jdisc",1670.3689870914,13751.7906452403
34,"jdisc",1216.7688824426,10827.6297442758
35,"jdisc",2010.33785717922,7918.43113372739
36,"jdisc",869.068016989874,5532.93418845796
37,"jdisc",312.737219196791,3390.93589749625
38,"jdisc",234.679968139167,1662.25904112513
39,"jdisc",216.786255031208,819.751569838061
4,"jdisc",0,0
40,"jdisc",12.1367687637969,802.811337594322
41,"jdisc",0,298.707209823621
42,"jdisc",226.810695186976,707.800236161568
43,"jdisc",0,235.392320673374
44,"jdisc",235.392320673374,470.784641346748
45,"jdisc",0,0
46,"jdisc",0,0
47,"jdisc",0,0
48,"jdisc",0,0
5,"jdisc",0,708.102726382331
6,"jdisc",0,1605.84911081137
7,"jdisc",0,263.79283204922
8,"jdisc",0,715.185892571712
9,"jdisc",318.894793305933,2870.86423868138
1,"jmain",0,0
10,"jmain",84.6093979683122,1355.16142715934
11,"jmain",527.553687540957,4501.74539330982
12,"jmain",2969.74034222248,6205.93375567686
13,"jmain",2337.2314331904,6632.07635077129
14,"jmain",4735.67915979141,11426.8035081884
15,"jmain",3397.12061496136,11441.5652198353
16,"jmain",2373.15604744348,6833.26782221915
17,"jmain",4817.77997667184,12810.7122245722
18,"jmain",3920.59256315719,10719.8817218164
19,"jmain",5393.93039376113,10369.7056855219
2,"jmain",0,0
20,"jmain",5800.63450807292,11218.3648003721
21,"jmain",2824.81490930774,9514.33534970279
22,"jmain",5880.95707155302,11881.0713073972
23,"jmain",7025.36342474322,10926.4804559441
24,"jmain",8605.0959499118,9823.95150064121
25,"jmain",2476.24197428436,5785.20247641835
26,"jmain",2220.92209600605,5756.36637844902
27,"jmain",2132.33921746017,4744.1289762668
28,"jmain",1070.58987559455,5478.49702825071
29,"jmain",2421.48255697466,7418.03935197991
3,"jmain",0,0
30,"jmain",2209.04183295566,7107.20347560971
31,"jmain",2248.35154536934,9249.98084759932
32,"jmain",1578.32653663821,6643.59346330817
33,"jmain",2266.57034400325,7058.49215506061
34,"jmain",962.968870124863,4914.62116757705
35,"jmain",1313.24120874903,3680.8278989653
36,"jmain",546.473478354458,2369.52417522845
37,"jmain",529.888811459143,1068.87132668046
38,"jmain",343.231297675209,710.685087779391
39,"jmain",80.0129049511076,80.0129049511076
4,"jmain",0,0
40,"jmain",0,0
41,"jmain",0,13.012386824976
42,"jmain",0,13.012386824976
43,"jmain",0,0
44,"jmain",0,0
