HH_ID=18139584	PER_ID=2 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 2] to [2, 7]
HH_ID=18139584	PER_ID=7 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 7] to [2, 7]
HH_ID=18144664	PER_ID=1 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 1] to [1, 2, 3]
HH_ID=18144664	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 2] to [1, 2, 3]
HH_ID=18144664	PER_ID=3 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 3] to [1, 2, 3]
HH_ID=18144664	PER_ID=1 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 1] to [1, 2, 3]
HH_ID=18144664	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 2] to [1, 2, 3]
HH_ID=18144664	PER_ID=3 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 3] to [1, 2, 3]
HH_ID=18144664	PER_ID=1 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 1, 1] to [1, 2, 3]
HH_ID=18144664	PER_ID=2 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 1, 2] to [1, 2, 3]
HH_ID=18144664	PER_ID=3 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 1, 3] to [1, 2, 3]
HH_ID=18144664	PER_ID=1 	TRIP_ID=4 	reset TRAVEL PARTY from [1, 1, 1, 1] to [1, 2, 3]
HH_ID=18144664	PER_ID=2 	TRIP_ID=4 	reset TRAVEL PARTY from [1, 1, 1, 2] to [1, 2, 3]
HH_ID=18144664	PER_ID=3 	TRIP_ID=4 	reset TRAVEL PARTY from [1, 1, 1, 3] to [1, 2, 3]
HH_ID=18144664	PER_ID=1 	TRIP_ID=5 	reset TRAVEL PARTY from [1, 1, 1, 1] to [1, 2, 3]
HH_ID=18144664	PER_ID=2 	TRIP_ID=5 	reset TRAVEL PARTY from [1, 1, 1, 2] to [1, 2, 3]
HH_ID=18144664	PER_ID=3 	TRIP_ID=5 	reset TRAVEL PARTY from [1, 1, 1, 3] to [1, 2, 3]
HH_ID=18154286	PER_ID=1 	TRIP_ID=4 	reset TRAVEL PARTY from [1, 1, 1] to [1, 5]
HH_ID=18154286	PER_ID=5 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 5] to [1, 5]
HH_ID=18156171	Inconsistent departure times: trips departing at 18:12 and 18:13 are assumed to be made together
HH_ID=18156171	PER_ID=1 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1] to [1, 2]
HH_ID=18156171	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 2] to [1, 2]
