"OCOUNTY","DCOUNTY","trip_mode","tour_purpose","count"
"Carver","Carver","Auto SOV","Shop",15816.426261508
"Carver","Carver","Auto 2 Person","Shop",6888.82906472993
"Anoka","Ramsey","Auto SOV","Work",26936.7572453923
"Anoka","Anoka","Auto SOV","Maintenance",97655.8604304136
"Anoka","Hennepin","Auto SOV","Maintenance",21368.9231458064
"Hennepin","Anoka","Auto SOV","Maintenance",21933.3669746728
"Dakota","Dakota","Auto SOV","Work",157819.457379992
"Rice","Rice","Auto SOV","Maintenance",29441.0811321248
"Rice","Hennepin","Auto 2 Person","Maintenance",2381.74080748938
"Hennepin","Dakota","Auto 2 Person","Maintenance",9346.33199208489
"Dakota","Dakota","Auto 2 Person","Maintenance",43634.5621204584
"Polk","St. Croix","Auto SOV","Maintenance",885.514670497302
"St. Croix","Washington","Auto SOV","Maintenance",6991.12646656856
"Washington","Polk","Auto 2 Person","Maintenance",743.442347356865
"Polk","Polk","Auto SOV","Maintenance",17302.4015225186
"Washington","Polk","Auto SOV","Maintenance",720.23269144362
"Polk","St. Croix","TNR-Transit","School",337.721687611759
"St. Croix","Washington","TNR-Transit","School",567.953800819448
"Polk","St. Croix","Auto 2 Person","Visiting",296.423698635377
"Hennepin","Hennepin","Auto 3+ Person","Visiting",52942.2429038643
"Hennepin","Hennepin","Auto 3+ Person","Shop",73360.6916955752
"Dakota","Dakota","Auto 3+ Person","Escort",66485.8923273416
"Dakota","Hennepin","Walk-Transit","Discretionary",2315.26039695859
"Dakota","Dakota","Auto 3+ Person","School",26096.931925818
"Pierce","Goodhue","Auto SOV","Work",1771.53119591185
"Goodhue","Goodhue","Auto SOV","Work",16515.1384960935
"Goodhue","Pierce","Auto SOV","Work",1745.2420408516
"Pierce","Pierce","Auto SOV","Work",16507.4042645961
"Goodhue","Pierce","Auto SOV","Work-based",163.474684315387
"Pierce","Pierce","Auto SOV","Work-based",4180.45600038025
"Hennepin","Hennepin","Walk-Transit","Eating Out",6634.36751846863
"Isanti","Isanti","Auto SOV","Work",17104.935210602
"Isanti","Isanti","Auto SOV","Shop",5036.73799718169
"Isanti","Isanti","Auto SOV","University",54.16101625488
"Ramsey","Ramsey",NA,"School",26.1227205071058
"Ramsey","Ramsey","TNR-Transit","School",23248.5939058375
"Dakota","Ramsey","Auto 2 Person","Maintenance",6748.85250044543
"Ramsey","Dakota","Auto 2 Person","Maintenance",5678.33790845269
"Goodhue","Dakota","Auto 2 Person","Maintenance",289.880565673744
"Sherburne","Sherburne","Auto 3+ Person","School",3420.5036864267
"Hennepin","Hennepin","Walk","Maintenance",96535.6416013281
"Polk","Washington","Auto SOV","Maintenance",1568.91260337201
"St. Croix","Polk","Auto SOV","Maintenance",1438.61096816257
"Polk","Polk","Auto 3+ Person","Work",5951.91373282579
"Polk","Polk","Auto SOV","Work",35186.4465279197
"Polk","Polk","Auto 3+ Person","Maintenance",29813.2684160579
"Hennepin","Washington","Auto SOV","Work",8755.81157106258
"Dakota","Dakota","Bike/Moped","Discretionary",2781.1681556282
"Scott","Dakota","Auto SOV","Work",7174.33261426258
"Dakota","Dakota","Auto 3+ Person","Work",9106.38456248818
"Dakota","Dakota","Auto SOV","Work-based",24817.930491273
"Dakota","Dakota","TNR-Transit","Visiting",984.423993520994
"Dakota","Dakota","TNR-Transit","School",22718.1733302872
"Dakota","Dakota","Auto 3+ Person","Maintenance",27946.973252491
"Hennepin","Rice","Auto SOV","Maintenance",813.032737585865
"Rice","Hennepin","Auto SOV","Maintenance",1135.28342088409
"Rice","Hennepin","Walk","Discretionary",58.3674660173564
"Ramsey","Hennepin","Walk","Maintenance",912.82464842789
"Hennepin","Ramsey","Walk","Maintenance",860.950527191269
"Hennepin","Ramsey","Auto 3+ Person","Work",2738.02728262502
"Dakota","Scott","Auto SOV","Work",7204.1367677821
"Goodhue","Dakota","Auto 2 Person","Shop",467.302489593169
"Dakota","Goodhue","Auto 3+ Person","Shop",553.204490422852
"Goodhue","Goodhue","Auto 3+ Person","Shop",987.827632219823
"Anoka","Chisago","Auto 3+ Person","Shop",553.204490422852
"Goodhue","Goodhue","Auto 2 Person","Escort",3406.53366005278
"Goodhue","Dakota","Auto SOV","Escort",154.838354426576
"Dakota","Goodhue","Auto SOV","Visiting",138.301122605713
"Goodhue","Goodhue","Auto SOV","Visiting",2199.47172048182
"Goodhue","Goodhue","Auto 3+ Person","Visiting",3446.03690282073
"Goodhue","Goodhue","Auto 3+ Person","Eating Out",829.806735634278
"Goodhue","Dakota","Auto SOV","Work",2960.52307846408
"Dakota","Goodhue","Auto SOV","Work",3385.79331836719
"Goodhue","Dakota","Auto 3+ Person","Visiting",1272.25971294425
"Dakota","Goodhue","Auto 3+ Person","Escort",220.987281710029
"Goodhue","Goodhue","Auto 3+ Person","Escort",1544.40858204984
"Dakota","Goodhue","Auto 3+ Person","Visiting",1106.4089808457
"Anoka","Chisago","Auto 3+ Person","Visiting",1247.27882149037
"Goodhue","Goodhue","Auto 2 Person","Discretionary",1475.02728712655
"Goodhue","Dakota","Auto 3+ Person","Discretionary",992.530634067989
"Dakota","Goodhue","Auto 3+ Person","Discretionary",2116.0543418704
"St. Croix","St. Croix","Auto SOV","Visiting",2772.74166741019
"St. Croix","Washington","Auto SOV","Work",4625.59251275068
