HH_ID,JTOUR_ID,NUMBER_HH,PERSON_1,PERSON_2,PERSON_3,PERSON_4,PERSON_5,PERSON_6,PERSON_7,PERSON_8,PERSON_9,COMPOSITION,JOINT_PURP
18811761,1,3,2,4,5,nan,nan,nan,nan,nan,nan,3,4
18811761,2,2,2,5,nan,nan,nan,nan,nan,nan,nan,3,4
18813080,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18814493,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,4
18814493,2,3,1,3,6,nan,nan,nan,nan,nan,nan,3,4
18814493,3,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,4
18816992,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18821453,1,3,1,3,4,nan,nan,nan,nan,nan,nan,3,3
18821453,2,3,1,3,4,nan,nan,nan,nan,nan,nan,3,3
18823664,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18823664,2,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,9
18827972,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18829016,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18830341,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18831728,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18834601,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,3
18836516,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,9
18837795,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,5
18843293,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18844989,1,2,2,6,nan,nan,nan,nan,nan,nan,nan,3,3
18844989,2,3,1,4,5,nan,nan,nan,nan,nan,nan,3,4
18846042,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18855019,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
18862629,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,3
18868285,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,2,3
18872135,1,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,4
18873409,1,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,3
